Các điểm E(-1, 188):
(2, 373)
(2, 378)
(3, 211)
(3, 540)
(5, 225)
(5, 526)
(6, 361)
(6, 390)
(7, 240)
(7, 511)
(12, 235)
(12, 516)
(13, 129)
(13, 622)
(17, 332)
(17, 419)
(18, 137)
(18, 614)
(19, 138)
(19, 613)
(21, 133)
(21, 618)
(24, 65)
(24, 686)
(26, 312)
(26, 439)
(28, 302)
(28, 449)
(30, 236)
(30, 515)
(32, 300)
(32, 451)
(34, 118)
(34, 633)
(36, 336)
(36, 415)
(38, 256)
(38, 495)
(39, 349)
(39, 402)
(41, 274)
(41, 477)
(43, 322)
(43, 429)
(44, 312)
(44, 439)
(45, 97)
(45, 654)
(47, 335)
(47, 416)
(50, 136)
(50, 615)
(52, 346)
(52, 405)
(54, 131)
(54, 620)
(57, 332)
(57, 419)
(59, 325)
(59, 426)
(62, 161)
(62, 590)
(63, 62)
(63, 689)
(64, 13)
(64, 738)
(66, 214)
(66, 537)
(67, 22)
(67, 729)
(69, 21)
(69, 730)
(72, 285)
(72, 466)
(74, 199)
(74, 552)
(77, 6)
(77, 745)
(79, 333)
(79, 418)
(84, 138)
(84, 613)
(86, 184)
(86, 567)
(92, 145)
(92, 606)
(93, 120)
(93, 631)
(94, 73)
(94, 678)
(97, 284)
(97, 467)
(101, 4)
(101, 747)
(102, 120)
(102, 631)
(103, 180)
(103, 571)
(121, 39)
(121, 712)
(124, 354)
(124, 397)
(126, 275)
(126, 476)
(128, 252)
(128, 499)
(131, 34)
(131, 717)
(135, 198)
(135, 553)
(139, 338)
(139, 413)
(144, 190)
(144, 561)
(147, 175)
(147, 576)
(152, 337)
(152, 414)
(153, 315)
(153, 436)
(154, 176)
(154, 575)
(155, 193)
(155, 558)
(157, 55)
(157, 696)
(158, 29)
(158, 722)
(159, 124)
(159, 627)
(160, 140)
(160, 611)
(161, 1)
(161, 750)
(169, 132)
(169, 619)
(170, 274)
(170, 477)
(172, 255)
(172, 496)
(173, 33)
(173, 718)
(174, 240)
(174, 511)
(177, 164)
(177, 587)
(178, 232)
(178, 519)
(179, 257)
(179, 494)
(180, 343)
(180, 408)
(182, 84)
(182, 667)
(187, 50)
(187, 701)
(188, 94)
(188, 657)
(189, 23)
(189, 728)
(190, 196)
(190, 555)
(191, 29)
(191, 722)
(192, 359)
(192, 392)
(195, 57)
(195, 694)
(196, 113)
(196, 638)
(197, 107)
(197, 644)
(198, 322)
(198, 429)
(200, 220)
(200, 531)
(201, 5)
(201, 746)
(202, 13)
(202, 738)
(203, 169)
(203, 582)
(204, 363)
(204, 388)
(205, 161)
(205, 590)
(207, 215)
(207, 536)
(209, 198)
(209, 553)
(210, 97)
(210, 654)
(211, 20)
(211, 731)
(212, 250)
(212, 501)
(214, 76)
(214, 675)
(217, 247)
(217, 504)
(219, 38)
(219, 713)
(224, 248)
(224, 503)
(225, 117)
(225, 634)
(227, 74)
(227, 677)
(229, 115)
(229, 636)
(231, 176)
(231, 575)
(232, 50)
(232, 701)
(233, 256)
(233, 495)
(234, 188)
(234, 563)
(237, 23)
(237, 728)
(238, 55)
(238, 696)
(239, 374)
(239, 377)
(241, 230)
(241, 521)
(243, 336)
(243, 415)
(245, 242)
(245, 509)
(246, 53)
(246, 698)
(248, 236)
(248, 515)
(251, 56)
(251, 695)
(253, 108)
(253, 643)
(254, 247)
(254, 504)
(256, 342)
(256, 409)
(257, 149)
(257, 602)
(258, 276)
(258, 475)
(261, 288)
(261, 463)
(262, 208)
(262, 543)
(263, 354)
(263, 397)
(264, 337)
(264, 414)
(265, 76)
(265, 675)
(266, 244)
(266, 507)
(267, 352)
(267, 399)
(268, 229)
(268, 522)
(269, 224)
(269, 527)
(270, 162)
(270, 589)
(272, 76)
(272, 675)
(274, 329)
(274, 422)
(278, 241)
(278, 510)
(279, 83)
(279, 668)
(280, 247)
(280, 504)
(283, 54)
(283, 697)
(285, 96)
(285, 655)
(291, 16)
(291, 735)
(295, 110)
(295, 641)
(296, 245)
(296, 506)
(297, 182)
(297, 569)
(299, 183)
(299, 568)
(301, 258)
(301, 493)
(302, 291)
(302, 460)
(304, 165)
(304, 586)
(305, 268)
(305, 483)
(310, 31)
(310, 720)
(311, 111)
(311, 640)
(312, 95)
(312, 656)
(314, 36)
(314, 715)
(317, 181)
(317, 570)
(318, 79)
(318, 672)
(320, 174)
(320, 577)
(324, 7)
(324, 744)
